Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-04-28,16.632582,7.2055163,17.565,113.86263275146484,Autumn,0.0,60.18233,36310.266
2024-04-29,15.972165,5.832197,14.384997,199.9832000732422,Autumn,0.0,52.349125,36814.66
2024-04-30,17.772165,7.66542,17.385,175.81512451171875,Autumn,0.0,50.227886,36717.32
2024-05-01,20.032583,8.953834,20.039997,147.1603546142578,Autumn,0.0,43.646774,36623.906
2024-05-02,20.995083,10.85827,23.204994,149.22357177734375,Autumn,0.0,39.644344,36529.68
2024-05-03,20.057583,7.797182,17.925,96.19380187988281,Autumn,0.0,43.448246,36443.707
2024-05-04,18.651335,7.0644493,16.095001,88.02510833740234,Autumn,0.0,45.850307,36433.31
2024-05-05,17.511751,7.411873,16.155,175.02296447753906,Autumn,0.0,41.67673,36422.215
2024-05-06,18.186752,7.2899585,16.439999,123.24335479736328,Autumn,0.0,37.64612,36345.0
2024-05-07,18.882584,7.73074,16.725,102.64636993408203,Autumn,0.0,33.08119,36272.7
2024-05-08,19.295084,7.4788246,16.695,118.96111297607422,Autumn,0.0,37.027576,36205.336
2024-05-09,19.332582,6.7951274,15.989998,120.58694458007812,Autumn,0.0,40.43939,36200.13
2024-05-10,17.840918,6.8736534,15.195001,217.9906768798828,Autumn,0.0,45.468674,36169.273
2024-05-06,18.186752,7.2899585,16.439999,123.24335479736328,Autumn,0.0,37.64612,36345.0
2024-05-07,18.882584,7.73074,16.725,102.64636993408203,Autumn,0.0,33.08119,36272.7
2024-05-08,19.295084,7.4788246,16.695,118.96111297607422,Autumn,0.0,37.027576,36205.336
2024-05-09,19.332582,6.7951274,15.989998,120.58694458007812,Autumn,0.0,40.43939,36200.13
2024-05-10,17.840918,6.8736534,15.195001,217.9906768798828,Autumn,0.0,45.468674,36169.273
2024-05-11,19.301332,6.6560674,15.450002,160.21653747558594,Autumn,0.0,42.645817,36078.316
2024-05-12,20.332586,8.147838,18.029999,91.26947021484375,Autumn,0.0,43.20041,35943.215
2024-05-13,19.30758,7.3474298,17.984999,75.24889373779297,Autumn,0.0,58.972805,35911.145
2024-05-14,18.040915,7.4290867,18.15,82.60401916503906,Autumn,0.2,66.23418,35842.258
2024-05-15,18.386747,7.0857816,16.515,153.75152587890625,Autumn,0.0,52.993774,35845.074
2024-05-16,19.030502,9.092427,20.1,144.3007354736328,Autumn,0.0,38.9412,35811.27
2024-05-17,18.963835,7.5031343,16.230001,154.81201171875,Autumn,0.0,39.99531,35777.043
2024-05-18,18.684668,5.7290425,14.339999,131.25946044921875,Autumn,0.0,37.717297,35708.613
2024-05-19,17.186749,6.4406834,15.21,140.95413208007812,Autumn,0.0,44.458065,35676.246
2024-05-13,19.30758,7.3474298,17.984999,75.24889373779297,Autumn,0.0,58.972805,35911.145
2024-05-14,18.040915,7.4290867,18.15,82.60401916503906,Autumn,0.2,66.23418,35842.258
2024-05-15,18.386747,7.0857816,16.515,153.75152587890625,Autumn,0.0,52.993774,35845.074
2024-05-16,19.030502,9.092427,20.1,144.3007354736328,Autumn,0.0,38.9412,35811.27
2024-05-17,18.963835,7.5031343,16.230001,154.81201171875,Autumn,0.0,39.99531,35777.043
2024-05-18,18.684668,5.7290425,14.339999,131.25946044921875,Autumn,0.0,37.717297,35708.613
2024-05-19,17.186749,6.4406834,15.21,140.95413208007812,Autumn,0.0,44.458065,35676.246
